photo_id	is_mmu	title	summary
96259133789	False	还没找到工作的主页私！！！	[OS]苏州电子厂招聘，坐班打包装组装，一天230包吃包住，男女不限10-38岁[OE][ICS]一个人在自行车后面的照片[ICE]
95866809735	False	藏在山中的夯土民居，太适合放松心灵了	[OS]藏在山中的夯土民居[OE][ICS]坐在水面上的船，一张建筑工地上有棒球棒的照片，正在改建的建筑物的图片[ICE]
90867910977	True	艾斯奥特曼那些名场面	[MOS]（艾新奥特曼》，一边说着友谊一边比诈都，玩的海[MOE][OS]都站在这里干什么呢，塔克队没用，快给我滚开，显得不伦不类，瞧这些姑娘们，难道连她通臂不睡的等着你的消，息，你把炸弹放在尾酒上的，说真话倒流我不知道，哎呀，断现在能看见星星吗，孩子们热忧之心不能混灭，孩子们热忧之心不能派灭，要帮助照顾弱小者，但这些都微不足道，这就是我对你们的最后一次期望[OE][ICS]一个坐在摩托车顶上的人，一只大象在黑暗中的特写，一只猫在黑暗中的模糊图像，一只狗在黑暗中的特写，一个人戴着手机的特写，两个男人戴着头盔和头盔，一个留着胡子的男人的特写，一个男人对着镜头微笑的特写，一个嘴里有手机的人，一幅穿着橙色衬衫的两个男人的画，一个人坐在火车前，一个穿西装的人站在水里，一个人嘴里夹着三明治的特写，背景是一个男人和一只狗的照片，一个穿着红色衬衫的男人走在街上，一组人在船上的画，一组穿着橙色制服的男人的画，一群戴着头盔的人，一个人站在摩托车旁边的特写，背景模糊的狗的特写，一个穿着红色衬衫的男人坐在炉子前，一群人站在雨中，一群人在街上骑自行车，暗室模糊图像的模糊图像，一个男人和一只狗看着窗外的模糊图像，一个人身上冒烟的特写，黑白背景的黑白图像，一个戴着头盔和棒球头盔的男人，一个男人用手机说话的特写，一个人在黑暗中的特写，一个戴着棒球头盔的男人，一只猫在黑暗中的特写，一个嘴唇上有红色唇膏的女人，几个年轻人站在一起，一个穿着棕色靴子的人的特写，一个带蝙蝠的人的程式化图画，一个人拿着手机的特写，一个人拍摄汽车照片的模糊图像，一个人乘坐火车的模糊图像[ICE]
90997650245	True	心机女为达目的故意砸伤自己	[MOS][MOE][OS]02，养女为了嫁祸养父家的亲生女儿，竟不惜用烛台砸伤自己的脑袋，完全不顾从小到大的姐妹情深，却不料养父对一切都洞若观火，绮罗虽然叛逆，她什么事都放在心里，可悄然苏醒的斯如听后却更加意难平，而另一边刚逃出君家大院的绮罗，籽香稻，在外内办资组，1小变他心张黄酒查主，碰巧路遇突发状况，男子飞身而起一举救下了小男孩，英勇的身姿一下彻底停获了绩罗的小心肝，崇拜的眼神中就差写上，仰慕的她不依不挠的追着男子不放，就这样失之交臂后，回到客栈的绮罗还在为今日之事发呆，不料男子却被人追s，误打误撞的闯入了绮罗的房间，并且还搭住她的嘴巴息求她能够帮帮忙，就这样，感受到男人身上织热的气息，绮罗一时有些迷失了自我，原来这就是爱情的味道，营，一群凶神恶煞的黑衣人就强行破开大门，原来这群人是独霸一方明家堡的人，但绮罗却凭借聪慧就随手打发走了他们，可明家堡的人刚走男子就立即向绮罗告别，看到男子连姓名都未留下就匆匆离去，可转头无意间却看到男子落在床头的随身玉佩，这让绮罗的内心不由暗自喜，心思活络的她带着玉佩来到一家当铺，原来玉佩上雕刻的身份是沐家寨少主沐，而沐家寨又是抗衡明家堡，可以说沐异就是一妥妥的高f师，所以在了解清楚后绮罗便开心的往客栈赶，不曾想半路却被地主叫人套进麻袋，强行背回府上就要把自己的女儿嫁给她，而地主之所以如此急切，而是因为明家堡的堡主被刺s，需要抓捕大量的未婚少女狗葬，眼看地主为了嫁女跪在地上苦苦哀求自己，无奈之下绮罗只能一把摘掉帽子，谁知明家堡的人刚好此时找上门来，仓促下地主把绩罗当成了替罪羊，就这样绮罗跟随一群少女走进了明家堡，虽然绩罗一再解释自己不是选中之人，可却根本无人相信，甚至还遭受了层层虐待，为此绮罗组织众多小姐妹准备一起逃走，晚上，一步步的朝容媛靠近，然而墙上反射的一道影子却泄露了她们的秘密，你们不是鬼啊，眼见事情败露一小姐妹顿时，随后在众人的齐心协力下，制服所有佣人后便套上她们的衣服离去，谁知半路上却遇到押送她们的香主林初一，于是绮罗的首次逃跑计划就此破产，回到床上的绮罗望着沐的玉佩不禁留下了泪水，可心有不甘的绩罗依旧没有放弃希望，在押解的途中偷偷和好姐妹们商量，假装肚子痛争取时间让她们先逃跑，自己则擒住林初一争取脱身筹码，殊不知林初一随身携带一个大高手，三两下就制服住了绮罗，于是绮罗的逃跑计划再次破产，绝境中绮罗怒民林初一，晚上回到住所的初-，便让手下单独叫绩罗要和她谈个交易，只要绮罗愿意伺候自己一晚就放了其他女孩，你说话算话，不曾想绩罗果断的应承了下来，可就在林初一想更进一步时[OE][ICS]一个女人打领带和领带，一个戴着耳环的女人和一个穿着白衬衫的女人，坐在窗上的一把剪刀，平面模糊图像的模糊图像，从天而降的烟雾，几个男人站在一起，一个男人和一个女人站在一起，一个张着嘴躺在床上的年轻女子，一只白色的泰迪熊正在吃一张纸，一群人站在一起，一群人站在大象周围，三个男人的黑白照片：，一个女人和三个男人的照片，一群人在雨中行走，一个女人拿着伞的黑白照片，一个人站在海里的照片，房间里电脑键盘的特写，一个男人在空中抽烟，一个男人和一个女人吃一块蛋糕，一个充满许多窗户的黑暗房间，一个戴着帽子的男人看着镜头，一只猫向远处看的特写，一只北极熊张开嘴的特写，一个充满了许多灯光和时钟的房间，一个穿西装打领带的男人，一个脸上假笑的女人，电视上两个女人的电影海报，坐在窗前的人，一个人坐在电脑屏幕前，一个男人戴着帽子的黑白照片，牙刷的特写，一个男人在电视机前的黑白照片，一个男人穿西装的黑白照片，一张栅栏的图片，一条短信的黑白照片，一群男人站在一起，一群人站在一个房间里，一个人站在建筑物前[ICE]
90923333563	True	“通信行程卡”服务，13日起正式下线！	[OS]通信行程卡”服务13日起，正式下线！[OE][ICS]带有短信的计算机屏幕图片[ICE]
92190978053	False	秀屿区气象台发布大风黄色预警[级/较重]	[OS]秀屿区气象台发布大风，黄色预警叫级/较重]，发布时间：2022-12-28，国家预警信息发布中心，秀屿区气象台发布大风黄色预，警川级/较重]，秀屿区气象合2022年1，2月28日21时13分继续，发布大风黄色预警信号，受冷空气影响，预计，未来12小时秀屿区、泥，洲岛和北岸有8-9级的，东北大风。请注意防范！，警川级/较重，未来12小时秀屿区、清[OE][ICS]一群摩托车在街上行驶的海报，一群人骑摩托车的海报，一个人走在大象中间的照片，一个绿色和白色标志的特写，一只风筝在黑夜里飞翔[ICE]
90891703695	True	不这么个仗吗	[OS]upin，pin，upi，ur[OE][ICS]一个男人和一个女人在看手机，一个男人和一个女人看着一张桌子，一个男孩和一个女孩一起打棒球，几个年轻人站在一起，钢琴模糊图像的模糊图像，一个穿着校服拿着吹风机的小男孩，几个孩子站在一起，坐在房间椅子上的女人，几个拿着香蕉的孩子[ICE]
89934226970	True	法系的空间魔术师？体验东风标致新5008	[MOS]法系的空间摩术师？，体验东风标致新5008[MOE][OS]法系的空间魔术师，新5008，体验东风标致，说空间大利用率高，正好今儿给大家推荐，一个suv，omlens，相信以上情况，那今天答哥为大家推荐一款，峰值扭矩达到了300nm，那原本以为，动力响应非常的积极，整个油门踏板的一个感觉，那另外呢还有拨片换挡的一个加持，他们的底盘调教都是出了名的，你先别着急吐槽，来源于网络，它是cedr大师级这种团队的调教，那经过了多轮的测试，那当我们的实测当中，目前我们在这种城市路段，以及减速带的这种过滤，没有多余的弹跳和摆动，另外这辆车搭载了l2级的一个辅助驾驶的功能，包括紧急制动，东风标致新5008，如果你的家庭并不需要经常满载，那我觉得新5008是非常不错的一个选择，那现在新车已经上市了，大胆前卫的这种风格，我相信这种造型就即使再过10年，那我们今天还是简单的跟大家，省餐卖车，那前脸也是一些细节的提升，这种由近至远点阵式的，省兴买车，包括两侧led的牙式日行灯，但最大的升级就是中间的这个logo，子，2，然后以及上面黑色的5008的标识，离非常硬朗的一个车身的线条，很有这种力量感，那同时呢，那车身上点缀了很多这种镀铬的饰条，那另外两个细节，一个是前翼子板处的这，那另外一个我们可以看到轮毂上面，并且轮毂是双色的，轮胎的规格是235/50r19的一个规格，它兼具了车的运动性还有它的舒适性，来到车尾，包含中间这个贵穿式的黑色饰板，所以整体看非常的高级，后备厢是支持了一个分段记忆的功能，无论是两边的这个宽度包括高度，那易外这个地台也是一个纯平的状态，那我们取、放这个大件物品的时候，然后同时第二排座椅，另外我们这辆车是一个7座的版本，只要轻轻一楼就可以了，这个座椅也是十分独特的，因为它是可以单独的拆下来，包括钓鱼以及休闲的话，所以这个功能很强悍，那相比外观内饰看起来，那搭配这些机械式的按键，以及微微向驾驶员一侧的这个中控台的设计，它就更具有这种未来战舰的感觉，那同时按键布局在这个位置，方向盘是这种上下平底的风格，那我们需要习惯一下，同时还具备了拨片换挡的功能，tt，全系都标配了12.3英寸的全液晶仪表，那中控是一个10英寸的，它整个的屏幕是非常的细腻的，风格依旧保持了法系的这种精致，那我们用起来就非常的简单易懂了，然后拉到这个最初级的卡片的菜单当中，支持透明底盘的360全景影像，包括aqs空气质量监测系统，以及两边门板都是有包覆的，那搭配这种银色的饰条，这种豪华氛围就远超了，座椅的设计也是非常的独特，那无论是这个座垫，那另外这个皮质也是非常的细腻，那座椅的功能方面，加热以及按摩功能的，但是这种真皮的材质透气性就比较好，新5008的轴距达到了2840mm，它的空间就可以更加的充裕，同时呢这三个座椅的靠背，那我们放大件物品的时候，这里还有一个老板键的功能，那其实后排的空间，上面具备了一个比较大的天窗，那我们去第三排体验一下，对于一台suv来讲，那由于第二排座椅可以向前移动，它也额外给我腿部留有，很便捷，这边的车窗，所以第三排的配置我觉得还是ok的，新5008它搭载的是1.8t的发动机，都有一个非常优异的表现，最大输出功率155kw[OE][ICS]一个坐在婴儿车旁边的男人，一个男人和一个女人坐在沙发上，两个男人坐在沙发上看着平板电脑，几个男人站在镜子前，两个男人坐在沙发上看钢琴，两个男人坐在客厅的沙发上，两个男人坐在沙发上玩电子游戏，一个穿着棕色外套的男人的倒影，一个人站在汽车前面，一个男人拍着一个男人站在汽车旁边的照片，一辆黑色的汽车在树旁边的街道上行驶，坐在汽车驾驶座上的男人，几辆车在积雪覆盖的道路上行驶[ICE]
80500899535	True	体质最好的几种喵星人温顺粘人萌萌哒	[MOS]米，体质最好的几种喵星人[MOE][OS]萌宠常识，体质最好的几种猫咪，养猫的主人平时最牵肠挂肚的就是家里的小猫咪吧，拉个肚子打个喷都会提心吊胆的，很担心猫咪会有健康问题，能避免经常去医院，很喜欢亲近主人，任人踩蹦也不会生气，体质也很好，而忍略了英短的健康问题，逼罗猫逢罗猫泰国也有很久的历史了，它敏捷活泼，美国短毛猫，美国短毛猫是美国的土猫，是作为农场捕鼠用的粗生粗养的，让他们比其他种类的猫更健康，中华田园猫可是在中国本土生活了几千年，适应环境的能力很强，不挑食好饲养，去医院的机会简直零零无几，去医院的机会简直零零无川，十分适合新手饲养[OE][ICS]明亮的蓝色背景上的蓝色和白色文本，闭着眼睛的猫的特写，一只黑色和白色的猫，绿色的眼睛，一只绿色眼睛的猫的特写，一只蓝眼睛的白猫的特写，一只猫舔爪子的特写，一个人的眼睛的特写，一只猫看镜头的特写，狗的模糊图像的模糊图像的模糊图像，背景模糊的猫的特写，一只白色的狗站在水的身体旁边，一只熊看着镜头的特写，一只蓝眼睛的猫的特写，黑白猫的黑白照片，一只灰色猫的黑白照片，一只猫盯着镜头的特写，紫色背景下的狗的特写，一只猫在看一束鲜花，一个人看着镜头的特写[ICE]
93981406118	False	美国鬼，我们时刻准备着，你敢来，就打你姥姥家去	[OS]旺呀旺呀旺，旺得你天天喜洋洋，旺出了健康事业兴旺[OE][ICS]一个人在路边推滑板，远处有一片湖，地上的一对棒球棍，街上的几只棒球棍[ICE]
